name,price,size,img1
Couture Elite Striped Polo T-Shirt,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_4.png?v=1748507245
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_3.png?v=1748507245
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_2.png?v=1748507245
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_1.png?v=1748507245
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_4.png?v=1748507245
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_3.png?v=1748507245
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_2.png?v=1748507245
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_1.png?v=1748507245
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_4.png?v=1748507245
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_3.png?v=1748507245
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_2.png?v=1748507245
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_1.png?v=1748507245
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_4.png?v=1748507245
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_3.png?v=1748507245
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_2.png?v=1748507245
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/ssp1_1.png?v=1748507245
Elite Prestige Collar Polo T-Shirt,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_1.jpg?v=1748507235
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_2.jpg?v=1748507235
,99.0,M/40,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_3.jpg?v=1748507235
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_1.jpg?v=1748507235
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_2.jpg?v=1748507235
,99.0,L/42,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_3.jpg?v=1748507235
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_1.jpg?v=1748507235
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_2.jpg?v=1748507235
,99.0,XL/44,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_3.jpg?v=1748507235
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_1.jpg?v=1748507235
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_2.jpg?v=1748507235
,99.0,XXL/46,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/AZORTA_3.jpg?v=1748507235
Heritage Plaid Emblem Polo T-Shirt,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.png?v=1748507228
,99.0,M,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.png?v=1748507228
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.png?v=1748507228
,99.0,L,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.png?v=1748507228
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.png?v=1748507228
,99.0,XL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.png?v=1748507228
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_1.png?v=1748507228
,99.0,XXL,https://cdn.shopify.com/s/files/1/0752/9316/3737/files/MIPAZO_2.png?v=1748507228
