Handle	Title	Body (HTML)	Vendor		Type	Tags	Published	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item
chroma-crisp-polo								Size	L/42	Color	Grey			SP08-L-Grey	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-4.png?v=1749572591			
chroma-crisp-polo								Size	L/42	Color	Navy Blue			SP08-L-Navy Blue	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Poshpeno1722929903714-142355969.jpg?v=1749572591			
chroma-crisp-polo								Size	L/42	Color	White			SP08-L-White	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-6.png?v=1749572591			
chroma-crisp-polo								Size	L/42	Color	Black			SP08-L-Black	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-5.png?v=1749572591			
chroma-crisp-polo								Size	XL/44	Color	Grey			SP08-XL-Grey	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-4.png?v=1749572591			
chroma-crisp-polo								Size	XL/44	Color	Navy Blue			SP08-XL-Navy Blue	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Poshpeno1722929903714-142355969.jpg?v=1749572591			
chroma-crisp-polo								Size	XL/44	Color	White			SP08-XL-White	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-6.png?v=1749572591			
chroma-crisp-polo								Size	XL/44	Color	Black			SP08-XL-Black	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-5.png?v=1749572591			
chroma-crisp-polo								Size	XXL/46	Color	Grey			SP08-XXL-Grey	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-4.png?v=1749572591			
chroma-crisp-polo								Size	XXL/46	Color	Navy Blue			SP08-XXL-Navy Blue	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Poshpeno1722929903714-142355969.jpg?v=1749572591			
chroma-crisp-polo								Size	XXL/46	Color	White			SP08-XXL-White	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-6.png?v=1749572591			
chroma-crisp-polo								Size	XXL/46	Color	Black			SP08-XXL-Black	300			deny	manual	99	1699		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/Untitled-5.png?v=1749572591			
classic-old-money-vintage-t-shirt	Classic Old Money Vintage T-Shirt	"<h3><strong>Vintage Old Money Premium T-Shirt</strong></h3> <p>Embody timeless sophistication and understated wealth with our <em>Vintage Old Money Premium T-Shirt</em>. Crafted from high-quality materials, this tee delivers unmatched comfort and classic style. Elevate your wardrobe with a touch of elegance and luxury—perfect for those who appreciate refined fashion.</p> <hr> <h3><strong>Size Chart (in inches)</strong></h3> <table> <thead> <tr> <th align=""center"">Size</th> <th align=""center"">Chest</th> <th align=""center"">Shoulder</th> <th align=""center"">Length</th> </tr> </thead> <tbody> <tr> <td align=""center"">S</td> <td align=""center"">38</td> <td align=""center"">15.5</td> <td align=""center"">25.5</td> </tr> <tr> <td align=""center"">M</td> <td align=""center"">40</td> <td align=""center"">16.5</td> <td align=""center"">26.5</td> </tr> <tr> <td align=""center"">L</td> <td align=""center"">42</td> <td align=""center"">17.5</td> <td align=""center"">27.5</td> </tr> <tr> <td align=""center"">XL</td> <td align=""center"">44</td> <td align=""center"">18.5</td> <td align=""center"">28.5</td> </tr> <tr> <td align=""center"">XXL</td> <td align=""center"">46</td> <td align=""center"">19.5</td> <td align=""center"">29.5</td> </tr> </tbody> </table> <hr> <p><strong>Key Features:</strong></p> <ul> <li> <p>? Timeless ""Old Money"" inspired design</p> </li> <li> <p>? Ultra-soft, premium fabric</p> </li> <li> <p>? Relaxed, flattering fit</p> </li> <li> <p>? Elegant details for a luxury look</p> </li> </ul> <p>Ideal for casual sophistication, elevated streetwear, or a refined everyday style.</p> <div class=""Modal__Content Rte""> <div class=""Container Container--extraNarrow""></div> </div>"	TEES				2025-06-10T21:55:53+05:30	Size	S						0			deny	manual	99			TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-28_21-39-57_2.jpg?v=1749572763	1			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-28_21-39-57_2.jpg?v=1749572763			
classic-old-money-vintage-t-shirt								Size	M						0			deny	manual	99			TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-28_21-39-58.jpg?v=1749572763	2			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-28_21-39-58.jpg?v=1749572763			
classic-old-money-vintage-t-shirt								Size	L						0			deny	manual	99			TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-28_21-40-03_2.jpg?v=1749572764	3			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-02-28_21-40-03_2.jpg?v=1749572764			
